Frequency, E', E''
43.629,1.53408e+06,879653
35.4088,1.40402e+06,710786
30.5208,1.38968e+06,736947
30.4346,1.41605e+06,829434
30.4904,1.40383e+06,696576
25.5089,1.32043e+06,579214
21.6532,1.303e+06,604352
21.5695,1.37457e+06,624746
20.7725,1.31415e+06,567716
17.3206,1.23091e+06,472603
15.6072,1.21061e+06,494902
15.695,1.19952e+06,557922
14.9473,1.18547e+06,447581
12.4828,1.16429e+06,379798
11.3438,1.16226e+06,421811
11.4171,1.23143e+06,426810
10.8123,1.12763e+06,393219
9.02673,1.09826e+06,321968
8.6274,1.16192e+06,310466
8.24526,1.07006e+06,299860
6.91994,1.0455e+06,245727
6.53701,1.10618e+06,290592
6.35395,1.05873e+06,247266
5.42665,1.04021e+06,226962
4.99341,1.03227e+06,247644
5.01539,1.04132e+06,239181
4.22094,988938,220995
3.71367,1.0084e+06,193093
3.78828,1.01661e+06,210422
3.71008,1.01489e+06,157401
3.20355,989424,152147
2.8825,985004,139798
2.90915,1.02417e+06,183337
2.55052,974431,143093
2.22882,947507,144398
2.27102,954003,171025
2.18768,982536,121347
1.91039,942034,99962.8
1.75332,972972,115022
1.77879,923918,106078
1.53757,893265,93191.2
1.39416,934647,117353
1.41013,937515,53100.6
1.30952,884577,91920.1
1.16167,901410,109485
1.11385,913980,63601.6
1.13869,900433,103521
1.06422,877684,102969
0.925991,905817,74881.1
0.916459,919002,83542.1
0.894647,899600,99948.7
0.777496,876358,74676.1
0.748117,922307,68721.7
0.741709,886335,65187.5
0.653249,840334,55020.4
0.619993,867600,93691.8
0.6211,889685,75319
0.548348,844704,57316.2
0.51129,868756,53802.2
0.517002,893013,49929.3
0.477913,852611,70517.2
0.430705,840501,56001
0.431167,804680,98726.8
0.408917,815699,52497.3
0.368601,801646,83822.3
0.363411,823200,93788.2
0.34784,807631,72764.8
0.308485,805437,73551.7
0.307376,789543,73408.1
0.303763,769966,64085
0.271336,752312,36448.8
