Frequency, E', E''
2.86955e+58,1.76948e+09,4.93079e+07
2.44311e+58,1.76838e+09,5.2468e+07
1.46402e+59,1.77046e+09,5.1085e+07
1.06686e+59,1.76871e+09,5.14966e+07
1.3747e+59,1.77057e+09,5.03087e+07
6.77324e+59,1.77178e+09,5.12917e+07
4.09053e+59,1.77339e+09,5.13771e+07
2.95464e+59,1.7713e+09,5.17016e+07
1.53415e+60,1.77825e+09,5.50019e+07
9.92272e+59,1.7736e+09,5.3234e+07
4.69774e+59,1.77353e+09,5.19183e+07
1.97037e+60,1.77602e+09,5.27569e+07
4.32814e+60,1.77757e+09,5.20014e+07
1.43574e+60,1.77475e+09,5.26923e+07
4.06161e+60,1.77448e+09,5.47258e+07
2.88138e+59,1.76767e+09,5.08259e+07
9.88668e+56,1.7594e+09,5.33414e+07
3.0761e+55,1.75547e+09,4.98791e+07
2.08146e+54,1.74997e+09,5.05865e+07
2.37654e+52,1.7412e+09,5.14829e+07
1.52184e+51,1.7391e+09,5.10071e+07
2.50302e+50,1.73576e+09,5.0938e+07
6.39925e+48,1.72997e+09,4.92195e+07
1.2243e+48,1.72769e+09,4.9185e+07
9.66952e+46,1.72076e+09,4.91525e+07
4.60171e+45,1.71784e+09,4.95048e+07
9.34308e+44,1.71722e+09,4.64254e+07
1.09262e+44,1.7079e+09,4.88539e+07
6.36415e+42,1.70705e+09,4.91867e+07
3.89455e+42,1.70281e+09,4.7147e+07
4.3362e+41,1.69749e+09,4.67208e+07
4.85903e+40,1.69314e+09,4.74011e+07
2.24676e+40,1.69506e+09,4.77464e+07
1.80057e+39,1.68577e+09,4.42968e+07
4.41971e+38,1.68342e+09,4.68608e+07
3.22302e+38,1.6944e+09,4.82043e+07
2.782e+37,1.67434e+09,4.65636e+07
1.02492e+37,1.67056e+09,4.60571e+07
1.48799e+36,1.66263e+09,4.15419e+07
1.83084e+35,1.66285e+09,4.64879e+07
9.11404e+34,1.65646e+09,4.48033e+07
3.28245e+34,1.65221e+09,4.29923e+07
2.90642e+33,1.64977e+09,4.3676e+07
9.8574e+32,1.64636e+09,4.4236e+07
5.73942e+32,1.64157e+09,4.10789e+07
1.18701e+32,1.63656e+09,4.06455e+07
3.25069e+31,1.63671e+09,4.38672e+07
1.97955e+31,1.63056e+09,4.38073e+07
5.64697e+30,1.62333e+09,4.13533e+07
1.60019e+30,1.62155e+09,4.10248e+07
1.13833e+30,1.61794e+09,4.14011e+07
2.87042e+29,1.61542e+09,4.13371e+07
9.47823e+28,1.61164e+09,4.03018e+07
5.30616e+28,1.60862e+09,4.1754e+07
1.78009e+28,1.60466e+09,3.94677e+07
8.43558e+27,1.60167e+09,3.98629e+07
4.91251e+27,1.59675e+09,3.93052e+07
1.77728e+27,1.59293e+09,3.80769e+07
8.00729e+26,1.59295e+09,3.90067e+07
4.6982e+26,1.58798e+09,3.83123e+07
1.49222e+26,1.58393e+09,3.72e+07
9.24685e+25,1.58324e+09,3.77329e+07
5.23299e+25,1.57768e+09,3.56533e+07
1.81631e+25,1.57699e+09,3.73682e+07
1.33645e+25,1.57498e+09,3.84991e+07
8.09528e+24,1.56932e+09,3.64654e+07
2.66759e+24,1.56632e+09,3.62051e+07
1.73625e+24,1.56538e+09,3.60418e+07
1.38163e+24,1.56239e+09,3.50913e+07
4.5175e+23,1.55822e+09,3.47322e+07
2.68862e+23,1.55727e+09,3.45962e+07
2.0911e+23,1.55275e+09,3.59259e+07
8.94318e+22,1.54933e+09,3.38275e+07
5.88702e+22,1.55011e+09,3.48623e+07
3.41295e+22,1.54473e+09,3.41478e+07
1.63375e+22,1.54314e+09,3.36775e+07
1.27652e+22,1.53913e+09,3.30574e+07
6.84728e+21,1.53606e+09,3.37351e+07
3.50397e+21,1.53484e+09,3.35967e+07
2.89095e+21,1.53584e+09,3.363e+07
1.42654e+21,1.52734e+09,3.11445e+07
9.17316e+20,1.52795e+09,3.19311e+07
7.28834e+20,1.52609e+09,3.14818e+07
4.29573e+20,1.51963e+09,2.90508e+07
2.46955e+20,1.51913e+09,3.06047e+07
2.10909e+20,1.51521e+09,2.92283e+07
1.16415e+20,1.51182e+09,2.88417e+07
6.87973e+19,1.51173e+09,2.94634e+07
5.94888e+19,1.50874e+09,3.00416e+07
3.68847e+19,1.50364e+09,3.04355e+07
2.06908e+19,1.50407e+09,2.88661e+07
1.79384e+19,1.50203e+09,2.93137e+07
1.08218e+19,1.49535e+09,3.0595e+07
6.63874e+18,1.49475e+09,2.85327e+07
5.99419e+18,1.4942e+09,2.75336e+07
3.54088e+18,1.48826e+09,2.74535e+07
2.22018e+18,1.48787e+09,2.83638e+07
1.92479e+18,1.48651e+09,2.91923e+07
1.37771e+18,1.48181e+09,2.67796e+07
7.84057e+17,1.47989e+09,2.72775e+07
7.01818e+17,1.47834e+09,2.76374e+07
6.11589e+17,1.47266e+09,3.02947e+07
3.51606e+17,1.4721e+09,2.82041e+07
2.47458e+17,1.46989e+09,2.82026e+07
2.26274e+17,1.46888e+09,2.9952e+07
1.72919e+17,1.46347e+09,2.79778e+07
1.05658e+17,1.46367e+09,2.6332e+07
9.36919e+16,1.46353e+09,2.72528e+07
7.8721e+16,1.45955e+09,2.68484e+07
4.99979e+16,1.45648e+09,2.81346e+07
4.16219e+16,1.45665e+09,2.72386e+07
2.95211e+16,1.44992e+09,2.666e+07
2.14206e+16,1.44983e+09,2.68243e+07
1.99012e+16,1.44825e+09,2.81173e+07
1.39655e+16,1.44075e+09,2.67948e+07
1.06505e+16,1.44163e+09,2.61122e+07
9.78733e+15,1.43811e+09,2.65754e+07
6.74014e+15,1.43455e+09,2.67323e+07
5.62737e+15,1.43613e+09,2.67308e+07
4.82263e+15,1.43224e+09,2.68176e+07
3.24758e+15,1.4259e+09,2.62327e+07
2.77143e+15,1.4273e+09,2.58104e+07
2.63125e+15,1.42509e+09,2.6391e+07
1.70921e+15,1.41917e+09,2.6129e+07
1.37323e+15,1.41876e+09,2.60101e+07
1.33489e+15,1.41879e+09,2.63767e+07
1.02934e+15,1.41247e+09,2.55245e+07
7.63884e+14,1.41186e+09,2.59151e+07
7.04924e+14,1.40981e+09,2.66434e+07
5.74057e+14,1.40464e+09,2.53265e+07
4.10625e+14,1.40271e+09,2.4805e+07
3.88965e+14,1.40435e+09,2.54957e+07
3.39422e+14,1.39823e+09,2.52509e+07
2.29946e+14,1.39489e+09,2.57083e+07
1.971e+14,1.39585e+09,2.59771e+07
1.98718e+14,1.3945e+09,2.56181e+07
1.58273e+14,1.38636e+09,2.52742e+07
1.12699e+14,1.38512e+09,2.43561e+07
1.04369e+14,1.38737e+09,2.44331e+07
9.24952e+13,1.38068e+09,2.5842e+07
6.52808e+13,1.37663e+09,2.50915e+07
5.65315e+13,1.37749e+09,2.60146e+07
5.65395e+13,1.37551e+09,2.57063e+07
4.17888e+13,1.38286e+09,2.81319e+07
3.04874e+13,1.36756e+09,2.55514e+07
2.98003e+13,1.3677e+09,2.53505e+07
2.76153e+13,1.36184e+09,2.50896e+07
1.85427e+13,1.35508e+09,2.62992e+07
1.57838e+13,1.35935e+09,2.56826e+07
1.59379e+13,1.35708e+09,2.49168e+07
1.14893e+13,1.34865e+09,2.70232e+07
9.21882e+12,1.34883e+09,2.59201e+07
8.9362e+12,1.3481e+09,2.68452e+07
6.58285e+12,1.33737e+09,2.57628e+07
5.10291e+12,1.33946e+09,2.56151e+07
4.94305e+12,1.33883e+09,2.70967e+07
4.03319e+12,1.33249e+09,2.61887e+07
2.91996e+12,1.33214e+09,2.56448e+07
2.76982e+12,1.33242e+09,2.54822e+07
2.24364e+12,1.32166e+09,2.68221e+07
1.57116e+12,1.32063e+09,2.64915e+07
1.53686e+12,1.31974e+09,2.90591e+07
1.29277e+12,1.31252e+09,2.74328e+07
8.2085e+11,1.30732e+09,2.83825e+07
7.28051e+11,1.31023e+09,2.84631e+07
7.26926e+11,1.30815e+09,2.87751e+07
5.33016e+11,1.29682e+09,2.9171e+07
3.66374e+11,1.29597e+09,2.98413e+07
3.49708e+11,1.29763e+09,2.92766e+07
2.77729e+11,1.28626e+09,3.04521e+07
1.88677e+11,1.2821e+09,3.16456e+07
1.71277e+11,1.29929e+09,3.65789e+07
1.47116e+11,1.27503e+09,3.18015e+07
9.45111e+10,1.26823e+09,3.26311e+07
8.26595e+10,1.27182e+09,3.22902e+07
6.77641e+10,1.25922e+09,3.41582e+07
3.87883e+10,1.2525e+09,3.56945e+07
3.60547e+10,1.25517e+09,3.39795e+07
3.3843e+10,1.24893e+09,3.64015e+07
1.96876e+10,1.23433e+09,3.82275e+07
1.51882e+10,1.23909e+09,3.8294e+07
1.47544e+10,1.23227e+09,3.85705e+07
8.18519e+09,1.21142e+09,4.26284e+07
5.58161e+09,1.21372e+09,4.24152e+07
5.93294e+09,1.21426e+09,4.19677e+07
4.04083e+09,1.18753e+09,4.93761e+07
1.87324e+09,1.17781e+09,5.15677e+07
1.82613e+09,1.18578e+09,4.98392e+07
1.83397e+09,1.17697e+09,5.21525e+07
9.526e+08,1.14316e+09,5.96571e+07
5.49725e+08,1.13863e+09,6.21361e+07
5.65218e+08,1.1457e+09,5.9257e+07
4.4887e+08,1.11387e+09,6.93337e+07
1.89776e+08,1.09055e+09,7.58779e+07
1.55846e+08,1.09766e+09,7.39671e+07
1.22342e+08,1.05951e+09,8.51483e+07
4.69152e+07,1.02827e+09,9.51767e+07
3.76783e+07,1.01012e+09,1.00194e+08
1.67e+07,9.33322e+08,1.24242e+08
1.04411e+07,9.4094e+08,1.2334e+08
1.07821e+07,9.19607e+08,1.28952e+08
4.65476e+06,7.87596e+08,1.68061e+08
2.61293e+06,7.87839e+08,1.68505e+08
2.80463e+06,8.07546e+08,1.62831e+08
1.87165e+06,6.67008e+08,1.96135e+08
886516,5.89163e+08,2.10858e+08
783826,6.40434e+08,2.01033e+08
671796,5.00232e+08,2.1848e+08
313947,3.84855e+08,2.20579e+08
271301,4.48531e+08,2.21879e+08
264864,3.70628e+08,2.17957e+08
127948,2.13722e+08,1.87539e+08
92309.5,2.68047e+08,2.02625e+08
100524,2.5614e+08,1.98904e+08
59537.1,1.19416e+08,1.41766e+08
38133.2,1.26866e+08,1.4649e+08
41171,1.44727e+08,1.5564e+08
27797,5.50733e+07,8.74151e+07
17883.8,4.94618e+07,8.15046e+07
16187,6.52566e+07,9.82238e+07
17055.5,6.35803e+07,9.69019e+07
13081.5,2.96731e+07,5.41331e+07
8073.06,2.35996e+07,4.50495e+07
7650.5,3.00615e+07,5.55701e+07
7456.7,2.2283e+07,4.32971e+07
4655.68,1.22136e+07,2.43071e+07
3671.57,1.39527e+07,2.81356e+07
3799.51,1.50259e+07,3.07676e+07
3144.85,8.82367e+06,1.72495e+07
2174.99,7.22956e+06,1.36253e+07
1900.12,8.88976e+06,1.71157e+07
1965.66,7.75572e+06,1.4596e+07
1402.23,5.37333e+06,8.73759e+06
1109.77,5.55388e+06,9.35793e+06
1094.9,5.9111e+06,1.06058e+07
957.544,4.46755e+06,6.89647e+06
696.151,3.82669e+06,5.48435e+06
630.538,4.45644e+06,6.58422e+06
634.426,4.10823e+06,5.7664e+06
480.609,3.26541e+06,3.96986e+06
375.407,3.23362e+06,3.89232e+06
372.667,3.56324e+06,4.57947e+06
353.731,3.02756e+06,3.46897e+06
266.662,2.66014e+06,2.69763e+06
230.683,2.86302e+06,3.00028e+06
229.903,2.87707e+06,3.00916e+06
194.043,2.37301e+06,2.15887e+06
155.461,2.26188e+06,1.96706e+06
143.275,2.40947e+06,2.20734e+06
144.892,2.39548e+06,2.17875e+06
127.116,2.09659e+06,1.64031e+06
101.953,1.92825e+06,1.43261e+06
91.4512,2.03479e+06,1.60476e+06
93.1703,2.01661e+06,1.6077e+06
83.9114,1.79937e+06,1.28379e+06
68.1675,1.72295e+06,1.18101e+06
64.1144,1.84423e+06,1.25267e+06
60.8866,1.67669e+06,1.13762e+06
50.6209,1.54808e+06,910965
43.9915,1.57385e+06,964396
44.4848,1.69307e+06,963647
